ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1987-05-20,16.287078799999996,4.291799410544845,31.648560906179622,16.287078799999996,16.287078799999996,1.226174137863417,1.226174137863417,1.226174137863417,-0.08806876121920636,-0.08806876121920636,-0.08806876121920636,1.3142428990826234,1.3142428990826234,1.3142428990826234,0.0,0.0,0.0,17.513252937863413
1987-05-21,16.290212243795192,2.86152301915717,31.83737411865255,16.290212243795192,16.290212243795192,1.3315325373512736,1.3315325373512736,1.3315325373512736,0.006157461249928425,0.006157461249928425,0.006157461249928425,1.3253750761013454,1.3253750761013454,1.3253750761013454,0.0,0.0,0.0,17.621744781146464
1987-05-22,16.293345687590385,3.4862230722814984,32.23167328294845,16.293345687590385,16.293345687590385,1.344203612155917,1.344203612155917,1.344203612155917,0.01079218185199299,0.01079218185199299,0.01079218185199299,1.3334114303039242,1.3334114303039242,1.3334114303039242,0.0,0.0,0.0,17.6375492997463
1987-05-25,16.302746018975967,3.111614628664652,30.978662778730587,16.302746018975967,16.302746018975967,1.373558667057908,1.373558667057908,1.373558667057908,0.03350519748149875,0.03350519748149875,0.03350519748149875,1.3400534695764093,1.3400534695764093,1.3400534695764093,0.0,0.0,0.0,17.676304686033873
1987-05-26,16.305879462771163,4.652492400513077,31.810600130474633,16.305879462771163,16.305879462771163,1.2858364106637368,1.2858364106637368,1.2858364106637368,-0.05134976023619559,-0.05134976023619559,-0.05134976023619559,1.3371861708999324,1.3371861708999324,1.3371861708999324,0.0,0.0,0.0,17.5917158734349
1987-05-27,16.309012906566355,2.705789762328006,30.336375786998953,16.309012906566355,16.309012906566355,1.2442390830606,1.2442390830606,1.2442390830606,-0.08806876121956704,-0.08806876121956704,-0.08806876121956704,1.332307844280167,1.332307844280167,1.332307844280167,0.0,0.0,0.0,17.553251989626954
1987-05-28,16.312146350361548,3.2382228138781026,31.004117292377547,16.312146350361548,16.312146350361548,1.3319684718093068,1.3319684718093068,1.3319684718093068,0.0061574612497583385,0.0061574612497583385,0.0061574612497583385,1.3258110105595486,1.3258110105595486,1.3258110105595486,0.0,0.0,0.0,17.644114822170856
1987-05-29,16.315279794156744,4.4081807795162185,32.47898126899343,16.315279794156744,16.315279794156744,1.3289140816979528,1.3289140816979528,1.3289140816979528,0.010792181852126352,0.010792181852126352,0.010792181852126352,1.3181218998458264,1.3181218998458264,1.3181218998458264,0.0,0.0,0.0,17.644193875854697
1987-06-01,16.324680125542326,4.69678287673178,31.474331790855956,16.324680125542326,16.324680125542326,1.3259098878270754,1.3259098878270754,1.3259098878270754,0.033505197480759474,0.033505197480759474,0.033505197480759474,1.292404690346316,1.292404690346316,1.292404690346316,0.0,0.0,0.0,17.650590013369403
1987-06-02,16.32781356933752,2.8321668005267235,32.53149197326788,16.32781356933752,16.32781356933752,1.2330927494666295,1.2330927494666295,1.2330927494666295,-0.051349760235933815,-0.051349760235933815,-0.051349760235933815,1.2844425097025634,1.2844425097025634,1.2844425097025634,0.0,0.0,0.0,17.560906318804147
1987-06-03,16.33094701313271,3.4584310095364548,31.038554762339885,16.33094701313271,16.33094701313271,1.1894176368040095,1.1894176368040095,1.1894176368040095,-0.08806876121920733,-0.08806876121920733,-0.08806876121920733,1.277486398023217,1.277486398023217,1.277486398023217,0.0,0.0,0.0,17.52036464993672
1987-06-04,16.334080456927907,3.6973451785066875,31.37480179057243,16.334080456927907,16.334080456927907,1.2780643331530188,1.2780643331530188,1.2780643331530188,0.006157461249953068,0.006157461249953068,0.006157461249953068,1.2719068719030657,1.2719068719030657,1.2719068719030657,0.0,0.0,0.0,17.612144790080926
1987-06-05,16.3372139007231,3.602506661199177,31.916462130906044,16.3372139007231,16.3372139007231,1.2788206525186836,1.2788206525186836,1.2788206525186836,0.010792181852110807,0.010792181852110807,0.010792181852110807,1.2680284706665728,1.2680284706665728,1.2680284706665728,0.0,0.0,0.0,17.616034553241782
1987-06-08,16.34661423210868,3.5730743770931457,31.670641669867,16.34661423210868,16.34661423210868,1.3025303408947275,1.3025303408947275,1.3025303408947275,0.033505197480948753,0.033505197480948753,0.033505197480948753,1.2690251434137787,1.2690251434137787,1.2690251434137787,0.0,0.0,0.0,17.649144573003408
1987-06-09,16.349747675903878,4.502893116696326,32.091842718162646,16.349747675903878,16.349747675903878,1.2227273168351673,1.2227273168351673,1.2227273168351673,-0.051349760236240716,-0.051349760236240716,-0.051349760236240716,1.274077077071408,1.274077077071408,1.274077077071408,0.0,0.0,0.0,17.572474992739046
1987-06-10,16.35288111969907,4.549686313985867,32.01039397159431,16.35288111969907,16.35288111969907,1.1935211774513599,1.1935211774513599,1.1935211774513599,-0.088068761219568,-0.088068761219568,-0.088068761219568,1.281589938670928,1.281589938670928,1.281589938670928,0.0,0.0,0.0,17.54640229715043
1987-06-11,16.356014563494266,4.033866592905344,32.01781898246019,16.356014563494266,16.356014563494266,1.297692805328685,1.297692805328685,1.297692805328685,0.006157461249990089,0.006157461249990089,0.006157461249990089,1.291535344078695,1.291535344078695,1.291535344078695,0.0,0.0,0.0,17.65370736882295
1987-06-12,16.35914800728946,3.9792280040808525,31.82219422339313,16.35914800728946,16.35914800728946,1.3146230753843544,1.3146230753843544,1.3146230753843544,0.010792181852244249,0.010792181852244249,0.010792181852244249,1.3038308935321103,1.3038308935321103,1.3038308935321103,0.0,0.0,0.0,17.673771082673813
